Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1132322,Dollar General 14673,2011 NW 13th St,,Gainesville,FL,32609,    ,ALACHUA,Other,29.670921,-82.338318,,,-9165859.632534632,3461319.5539846593
1133448,Jiffy 1559,24252 W Newberry Rd,,Newberry,FL,32669,2211,ALACHUA,Convenience Store,29.650139,-82.599007,,,-9194879.399270039,3458657.281752197
1139731,Big Lots 5289,2323 NW 13th St,,Gainesville,FL,32609,2839,ALACHUA,Other,29.67494,-82.339027,,,-9165938.558053603,3461834.4703149116
1140926,Winn Dixie Store 1654,3212 SE State Rd 21,,Melrose,FL,32666,    ,PUTNAM,Super Store,29.763346,-82.054497,,,-9134264.823338194,3473166.3052046387
1149038,Ma N Pa Express,7050 SE St Rd 26,,Trenton,FL,32693,    ,GILCHRIST,Convenience Store,29.634907,-82.689529,,,-9204956.262215627,3456706.339783962
1158303,Quik Mart,3845 NE 15th St,,Gainesville,FL,32609,2431,ALACHUA,Convenience Store,29.687981,-82.305779,,,-9162237.40762371,3463505.4316500262
1158943,Family Dollar Store 10965,881 N State Rd 21,,Melrose,FL,32666,    ,PUTNAM,Other,29.715307,-82.04467,,,-9133170.886702169,3467007.453151076
1196920,SunStop 340,13820 NW 140th St,,Alachua,FL,32615,6118,ALACHUA,Convenience Store,29.782639,-82.494316,,,-9183225.250459401,3475640.6000250285
1196940,SunStop Market 350,929 S Main St,,Bell,FL,32619,2379,GILCHRIST,Grocery Store,29.7523,-82.861084,,,-9224053.677458668,3471749.888763624
1212538,8th Ave Food Store,1634 Ne 8th Ave,,Gainesville,FL,32641,4675,ALACHUA,Convenience Store,29.659248,-82.303444,,,-9161977.476612708,3459824.119929723
1230793,Rose Food Store,1631 Ne 16th Ave,,Gainesville,FL,32601,4634,ALACHUA,Convenience Store,29.666464,-82.303673,,,-9162002.9687761,3460748.544933827
1232271,Dollar General 16344,845 N State Road 21,,Melrose,FL,32666,4150,PUTNAM,Other,29.710749,-82.044212,,,-9133119.902375385,3466423.246776406
1237252,Zeezenia International Market,2325 Sw 13th St,,Gainesville,FL,32608,2006,ALACHUA,Grocery Store,29.630211,-82.339233,,,-9165961.489868708,3456104.9271648075
1239923,Save A Lot 24785,12859 SW State Road 45,,Archer,FL,32618,5684,ALACHUA,Grocery Store,29.53553,-82.519089,,,-9185982.96820482,3443985.1860967022
1240189,CVS/PHARMACY 10883,311 SW 13th St,Ste 101,Gainesville,FL,32601,7129,ALACHUA,Other,29.649149,-82.339294,,,-9165968.280357646,3458530.4718017145
1244444,Sam's Club 8155,4001 SW 30th Pl,,Gainesville,FL,32608,1907,ALACHUA,Super Store,29.626102,-82.445679,,,-9177811.004385687,3455578.7141212155
1251768,Dollar Tree 282,3965 Plaza Blvd,Ste 60,Gainesville,FL,32608,0070,ALACHUA,Other,29.628307,-82.382439,,,-9170771.159787921,3455861.0915358076
1252592,Dollar General Store 16564,6733 SW Archer Rd,,Gainesville,FL,32608,4718,ALACHUA,Other,29.602203,-82.41481,,,-9174374.68302439,3452518.5490805204
1253770,Walmart Supercenter 1081,2900 SW 42nd St,,Gainesville,FL,32608,2379,ALACHUA,Super Store,29.626446,-82.387123,,,-9171292.580282798,3455622.7671522675
1257975,Love's Travel Stop 620,5616 SE US Highway 301,,Hawthorne,FL,32640,7357,ALACHUA,Convenience Store,29.602089,-82.087708,,,-9137961.85494693,3452503.953604972
1261117,Aayat Enterprises LLC,3423 SE Hawthorne Rd,,Gainesville,FL,32641,8800,ALACHUA,Convenience Store,29.639025,-82.280975,,,-9159476.238974072,3457233.7515249914
1261244,ALDI 74109 74109,3003 Clark Butler Blvd,,Gainesville,FL,32608,2430,ALACHUA,Supermarket,29.620579,-82.380165,,,-9170518.019265858,3454871.4530542246
1267759,ALDI 74119,3773 NW 13th St,,Gainesville,FL,32609,2399,ALACHUA,Supermarket,29.687511,-82.338867,,,-9165920.746935075,3463445.206135294
1270180,Gville Seafood N Chicken,2224 E University Ave,,Gainesville,FL,32641,5907,ALACHUA,Other,29.651989,-82.295021,,,-9161039.832541754,3458894.2531846394
1282748,Publix Super Markets 1560,203 NW 13th St,,Gainesville,FL,32601,5125,ALACHUA,Supermarket,29.653463,-82.339195,,,-9165957.259728057,3459083.0648924615
1283415,Tommy's Seafood,1827 State Road 20,,Hawthorne,FL,32640,5341,PUTNAM,Specialty Store,29.609583,-81.998894,,,-9128075.125691615,3453463.4491866003
1287112,Stop N Go,15000 NW US Highway 441,,Alachua,FL,32615,6555,ALACHUA,Convenience Store,29.792658,-82.492035,,,-9182971.3307009,3476925.7080255384
1289502,Dollar Tree 135,1220 NW 76th Blvd,,Gainesville,FL,32606,6750,ALACHUA,Other,29.664209,-82.424332,,,-9175434.667215725,3460459.654997001
1290746,Northwood Texaco,4909 Nw 34th Street,,Gainesville,FL,32605,3260,ALACHUA,Convenience Store,29.699947,-82.370583,,,-9169451.355905076,3465038.8425138434
1305955,Putul Kwiw Stop Inc,818 NW 5th Ave,,Gainesville,FL,32601,3828,ALACHUA,Convenience Store,29.655741,-82.333145,,,-9165283.776808757,3459374.870244016
1307959,One Stop Shop,809 N Main St,,Gainesville,FL,32601,4318,ALACHUA,Convenience Store,29.659611,-82.324715,,,-9164345.35350137,3459870.621433009
1318786,SunStop Market 355,1209 E Wade St,,Trenton,FL,32693,2772,GILCHRIST,Supermarket,29.613613,-82.805779,,,-9217897.153020347,3453979.460419758
1319926,Whole Foods Market 10704,2490 SW Archer Rd,,Gainesville,FL,32608,1301,ALACHUA,Super Store,29.63291,-82.360687,,,-9168349.738224186,3456450.582311307
1332195,Earth Origins Market 12,1237 NW 76th Blvd,,Gainesville,FL,32606,6755,ALACHUA,Grocery Store,29.663635,-82.42395,,,-9175392.143170241,3460386.120410733
